"Òrrius","RECORTES CERO-ELS VERDS",0
"Llobera","Total de votantes",148
"Llobera","Abstención",26
"Llobera","Votos nulos",2
"Llobera","Votos en blanco",1
"Llobera","Votos a candidaturas",145
"Llobera","JxSí",116
"Llobera","unio.cat",10
"Llobera","CUP",9
"Llobera","PP",6
"Llobera","PSC",2
"Llobera","C's",1
"Llobera","CatSíqueesPot",1
"Llobera","GANEMOS",0
"Llobera","PACMA",0
"Llobera","RECORTES CERO-ELS VERDS",0
"Guixers","Total de votantes",100
"Guixers","Abstención",15
"Guixers","Votos nulos",0
"Guixers","Votos en blanco",1
"Guixers","Votos a candidaturas",99
"Guixers","JxSí",73
"Guixers","CUP",10
"Guixers","PP",7
"Guixers","C's",4
"Guixers","PACMA",2
"Guixers","PSC",1
"Guixers","CatSíqueesPot",1
"Guixers","unio.cat",1
"Guixers","GANEMOS",0
"Guixers","RECORTES CERO-ELS VERDS",0
"Granollers","Total de votantes",32897
"Granollers","Abstención",9493
"Granollers","Votos nulos",129
"Granollers","Votos en blanco",180
"Granollers","Votos a candidaturas",32588
"Granollers","JxSí",12952
"Granollers","C's",6413
"Granollers","PSC",4704
"Granollers","CatSíqueesPot",2535
"Granollers","CUP",2496
"Granollers","PP",2409
"Granollers","unio.cat",727
"Granollers","PACMA",233
"Granollers","RECORTES CERO-ELS VERDS",119
"Torre de Cabdella, la","Total de votantes",540
"Torre de Cabdella, la","Abstención",104
"Torre de Cabdella, la","Votos nulos",1
"Torre de Cabdella, la","Votos en blanco",3
"Torre de Cabdella, la","Votos a candidaturas",536
"Torre de Cabdella, la","JxSí",374
"Torre de Cabdella, la","CUP",73
"Torre de Cabdella, la","PSC",39
"Torre de Cabdella, la","unio.cat",16
"Torre de Cabdella, la","CatSíqueesPot",13
"Torre de Cabdella, la","PP",11
"Torre de Cabdella, la","C's",9
"Torre de Cabdella, la","PACMA",1
"Torre de Cabdella, la","GANEMOS",0
"Torre de Cabdella, la","RECORTES CERO-ELS VERDS",0
"Pardines","Total de votantes",109
"Pardines","Abstención",19
"Pardines","Votos nulos",0
"Pardines","Votos en blanco",3
"Pardines","Votos a candidaturas",106
"Pardines","JxSí",94
"Pardines","CUP",6
"Pardines","PP",3
"Pardines","PSC",1
"Pardines","CatSíqueesPot",1
"Pardines","unio.cat",1
"Pardines","C's",0
"Pardines","GANEMOS",0
"Pardines","PACMA",0
"Pardines","PIRATA.CAT/XDT",0
"Pardines","RECORTES CERO-ELS VERDS",0
"Belianes","Total de votantes",352
"Belianes","Abstención",77
"Belianes","Votos nulos",2
"Belianes","Votos en blanco",0
"Belianes","Votos a candidaturas",350
"Belianes","JxSí",209
"Belianes","CUP",55
"Belianes","PP",36
"Belianes","PSC",16
"Belianes","CatSíqueesPot",13
"Belianes","unio.cat",13
"Belianes","C's",7
"Belianes","RECORTES CERO-ELS VERDS",1
"Belianes","GANEMOS",0
"Belianes","PACMA",0
"Santa Maria de Besora","Total de votantes",108
"Santa Maria de Besora","Abstención",24
"Santa Maria de Besora","Votos nulos",0
"Santa Maria de Besora","Votos en blanco",1
"Santa Maria de Besora","Votos a candidaturas",107
"Santa Maria de Besora","JxSí",92
"Santa Maria de Besora","CUP",8
"Santa Maria de Besora","C's",2
"Santa Maria de Besora","RECORTES CERO-ELS VERDS",2
"Santa Maria de Besora","unio.cat",2
"Santa Maria de Besora","CatSíqueesPot",1
"Santa Maria de Besora","PACMA",0
"Santa Maria de Besora","PSC",0
"Santa Maria de Besora","PP",0
"Gironella","Total de votantes",3079
"Gironella","Abstención",697
"Gironella","Votos nulos",22
"Gironella","Votos en blanco",16
"Gironella","Votos a candidaturas",3041
"Gironella","JxSí",2024
"Gironella","CUP",303
"Gironella","PSC",214
"Gironella","PP",175
"Gironella","C's",119
"Gironella","CatSíqueesPot",109
"Gironella","unio.cat",90
"Gironella","PACMA",4
"Gironella","RECORTES CERO-ELS VERDS",3
"Tagamanent","Total de votantes",194
"Tagamanent","Abstención",43
"Tagamanent","Votos nulos",0
"Tagamanent","Votos en blanco",1
"Tagamanent","Votos a candidaturas",193
"Tagamanent","JxSí",125
"Tagamanent","CUP",32
"Tagamanent","C's",11
"Tagamanent","PP",7
"Tagamanent","PSC",7
"Tagamanent","CatSíqueesPot",7
"Tagamanent","unio.cat",2
"Tagamanent","PACMA",1
"Tagamanent","RECORTES CERO-ELS VERDS",1
"Salàs de Pallars","Total de votantes",226
"Salàs de Pallars","Abstención",39
"Salàs de Pallars","Votos nulos",0
"Salàs de Pallars","Votos en blanco",3
"Salàs de Pallars","Votos a candidaturas",223
"Salàs de Pallars","JxSí",142
"Salàs de Pallars","CUP",34
"Salàs de Pallars","PSC",21
"Salàs de Pallars","unio.cat",10
"Salàs de Pallars","CatSíqueesPot",8
"Salàs de Pallars","C's",6
"Salàs de Pallars","PP",2
"Salàs de Pallars","GANEMOS",0
"Salàs de Pallars","PACMA",0
"Salàs de Pallars","RECORTES CERO-ELS VERDS",0
"Poboleda","Total de votantes",242
"Poboleda","Abstención",41
"Poboleda","Votos nulos",0
"Poboleda","Votos en blanco",3
"Poboleda","Votos a candidaturas",239
"Poboleda","JxSí",157
"Poboleda","CUP",48
"Poboleda","unio.cat",12
"Poboleda","CatSíqueesPot",8
"Poboleda","PSC",7
"Poboleda","C's",5
"Poboleda","PP",1
"Poboleda","GANEMOS",1
"Poboleda","PACMA",0
"Poboleda","RECORTES CERO-ELS VERDS",0
"Alió","Total de votantes",286
"Alió","Abstención",36
"Alió","Votos nulos",1
"Alió","Votos en blanco",2
"Alió","Votos a candidaturas",283
"Alió","JxSí",168
"Alió","CUP",27
"Alió","PSC",26
"Alió","PP",19
"Alió","CatSíqueesPot",15
"Alió","C's",13
"Alió","unio.cat",13
"Alió","PACMA",2
"Alió","GANEMOS",0
"Alió","RECORTES CERO-ELS VERDS",0
"Castellfollit de la Roca","Total de votantes",592
"Castellfollit de la Roca","Abstención",123
"Castellfollit de la Roca","Votos nulos",6
"Castellfollit de la Roca","Votos en blanco",4
"Castellfollit de la Roca","Votos a candidaturas",582
"Castellfollit de la Roca","JxSí",420
"Castellfollit de la Roca","CUP",40
"Castellfollit de la Roca","PSC",38
"Castellfollit de la Roca","PP",22
"Castellfollit de la Roca","C's",21
"Castellfollit de la Roca","CatSíqueesPot",20
"Castellfollit de la Roca","unio.cat",19
"Castellfollit de la Roca","PACMA",1
"Castellfollit de la Roca","RECORTES CERO-ELS VERDS",1
"Castellfollit de la Roca","GANEMOS",0
"Castellfollit de la Roca","PIRATA.CAT/XDT",0
"Riu de Cerdanya","Total de votantes",85
"Riu de Cerdanya","Abstención",4
"Riu de Cerdanya","Votos nulos",1
"Riu de Cerdanya","Votos en blanco",0
"Riu de Cerdanya","Votos a candidaturas",84
"Riu de Cerdanya","JxSí",65
"Riu de Cerdanya","CUP",9
"Riu de Cerdanya","C's",3
"Riu de Cerdanya","PSC",2
"Riu de Cerdanya","PACMA",2
"Riu de Cerdanya","unio.cat",2
"Riu de Cerdanya","PP",1
"Riu de Cerdanya","CatSíqueesPot",0
"Riu de Cerdanya","GANEMOS",0
"Riu de Cerdanya","RECORTES CERO-ELS VERDS",0
"Esquirol, l'","Total de votantes",1562
"Esquirol, l'","Abstención",186
"Esquirol, l'","Votos nulos",3
"Esquirol, l'","Votos en blanco",9
"Esquirol, l'","Votos a candidaturas",1550
"Esquirol, l'","JxSí",1223
"Esquirol, l'","CUP",205
"Esquirol, l'","unio.cat",28
"Esquirol, l'","CatSíqueesPot",27
"Esquirol, l'","PSC",24
"Esquirol, l'","PP",21
"Esquirol, l'","C's",21
"Esquirol, l'","PACMA",1
"Esquirol, l'","RECORTES CERO-ELS VERDS",0
"Tarragona","Total de votantes",69339
"Tarragona","Abstención",20801
"Tarragona","Votos nulos",247
"Tarragona","Votos en blanco",340
"Tarragona","Votos a candidaturas",68752
"Tarragona","JxSí",20304
"Tarragona","C's",17971
"Tarragona","PSC",9719
"Tarragona","PP",7682
"Tarragona","CatSíqueesPot",5837
"Tarragona","CUP",4615
"Tarragona","unio.cat",1667
